Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
213		0.1586		0.3177		0.7658		0.6004		0.00016580
214		0.1549		0.2954		0.7750		0.6638		0.00016411
215		0.1482		0.3101		0.7857		0.6470		0.00016241
216		0.1488		0.2786		0.7839		0.6689		0.00016071
217		0.1483		0.2762		0.7841		0.6536		0.00015901
218		0.1493		0.3737		0.7815		0.5945		0.00015730
219		0.1631		0.2963		0.7591		0.6446		0.00015559
220		0.1540		0.2746		0.7720		0.6601		0.00015389
221		0.1486		0.2863		0.7848		0.6638		0.00015217
222		0.1473		0.2848		0.7874		0.6542		0.00015046
223		0.1495		0.2667		0.7826		0.6628		0.00014875
224		0.1451		0.2694		0.7890		0.6602		0.00014703
225		0.1460		0.2793		0.7884		0.6646		0.00014531
226		0.1476		0.3030		0.7831		0.6477		0.00014359
227		0.1489		0.2857		0.7833		0.6758		0.00014186
228		0.1515		0.2869		0.7792		0.6564		0.00014014
229		0.1456		0.3076		0.7892		0.6520		0.00013841
230		0.1453		0.2852		0.7885		0.6567		0.00013668
231		0.1467		0.2852		0.7861		0.6589		0.00013494
232		0.1468		0.2946		0.7859		0.6554		0.00013321
233		0.1452		0.2737		0.7884		0.6550		0.00013147
234		0.1441		0.2627		0.7889		0.6697		0.00012973
235		0.1446		0.2790		0.7890		0.6727		0.00012798
236		0.1466		0.2764		0.7886		0.6569		0.00012624
237		0.1459		0.2768		0.7834		0.6601		0.00012449
238		0.1447		0.2661		0.7871		0.6751		0.00012273
239		0.1433		0.2832		0.7922		0.6606		0.00012098
240		0.1429		0.3283		0.7905		0.6519		0.00011922
241		0.1447		0.2993		0.7854		0.6562		0.00011746
242		0.1499		0.2785		0.7756		0.6601		0.00011570
243		0.1404		0.2818		0.7953		0.6662		0.00011393
244		0.1415		0.2867		0.7929		0.6517		0.00011216
245		0.1415		0.2732		0.7920		0.6605		0.00011039
246		0.1389		0.2957		0.7971		0.6570		0.00010861
247		0.1400		0.2967		0.7955		0.6501		0.00010684
248		0.1405		0.2729		0.7945		0.6641		0.00010505
249		0.1395		0.2882		0.7961		0.6579		0.00010327
250		0.1383		0.2808		0.7971		0.6649		0.00010148
251		0.1423		0.2752		0.7916		0.6593		0.00009969
252		0.1397		0.3431		0.7930		0.6498		0.00009789
253		0.1377		0.3467		0.7973		0.6236		0.00009609
254		0.1446		0.2769		0.7836		0.6719		0.00009429
255		0.1371		0.3138		0.7986		0.6548		0.00009248
256		0.1366		0.2884		0.7993		0.6597		0.00009067
257		0.1359		0.2911		0.8008		0.6616		0.00008885
258		0.1365		0.3165		0.7996		0.6583		0.00008703
259		0.1367		0.3066		0.8001		0.6626		0.00008521
260		0.1365		0.2790		0.7985		0.6661		0.00008338
261		0.1372		0.2738		0.7963		0.6685		0.00008155
262		0.1363		0.2762		0.8002		0.6694		0.00007971
263		0.1357		0.2747		0.8017		0.6745		0.00007787
264		0.1346		0.2631		0.8028		0.6769		0.00007602
265		0.1335		0.2793		0.8034		0.6690		0.00007417
266		0.1357		0.2830		0.7997		0.6652		0.00007231
267		0.1334		0.2925		0.8034		0.6624		0.00007045
268		0.1327		0.2787		0.8045		0.6752		0.00006858
